rule,Accuracy,Precision,Recall,F1,MCC,TN,FP,FN,TP
base AND GB_Accuracy_Prob>=0.0229,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0289,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0303,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.032,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0322,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0342,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0368,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0445,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0514,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob<=0.9039,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.0633,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.0867,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.12,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.1267,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.1333,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.1467,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.15,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.1567,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.1767,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.18,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.1867,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.19,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.2033,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob<=0.63,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.01,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.06,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.062,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.066,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.07,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.104,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.13,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.138,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.156,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.162,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.168,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob>=0.17,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND ExtraTrees_Prob<=0.642,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.193,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.1979,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.2061,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.2122,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.2135,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.2326,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.2377,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.2443,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.2449,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.2498,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.2501,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.2506,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND SVC_RBF_Prob>=0.2526,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.0567,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.0648,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.0723,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.0782,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.0897,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.0957,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.0971,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.1023,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.1074,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.1123,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.1243,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.1252,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.1265,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.1352,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.1406,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.141,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.1424,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.1438,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Classifier_Prob>=0.149,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Classifier_Prob>=0.193,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Classifier_Prob>=0.1979,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Classifier_Prob>=0.2061,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Classifier_Prob>=0.2122,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Classifier_Prob>=0.2326,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Classifier_Prob>=0.2449,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Classifier_Prob>=0.2501,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Classifier_Prob>=0.2506,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Classifier_Prob>=0.2526,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Classifier_Prob<=1.0,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Regressor_PHQ>=0.16,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Regressor_PHQ>=0.2401,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Regressor_PHQ>=1.7152,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Mean_Regressor_PHQ>=1.7992,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
