training_data,model,scaler,objective,threshold,Dev_Accuracy,Dev_Precision,Dev_Recall,Dev_F1,Dev_MCC,Accuracy,Precision,Recall,F1,AUC,MCC,TN,FP,FN,TP,daic_train_rows,external_audio_rows,missing_daic_train_audio,missing_daic_dev_audio,missing_daic_test_audio
DAIC_only,AudioExt_LogisticRegression,robust,accuracy,0.5800000000000001,0.6857142857142857,0.6,0.25,0.35294117647058826,0.2211629342323457,0.6170212765957447,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.4437229437229437,0.0454029804402663,25,8,10,4,107,0,30,14,15
DAIC_plus_external_audio,AudioExt_LogisticRegression,standard,accuracy,0.24000000000000005,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.3931785497463924,0.5957446808510638,0.4,0.7142857142857143,0.5128205128205128,0.645021645021645,0.23805588025744623,18,15,4,10,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_LogisticRegression,standard,f1,0.24000000000000005,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.3931785497463924,0.5957446808510638,0.4,0.7142857142857143,0.5128205128205128,0.645021645021645,0.23805588025744623,18,15,4,10,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_SVC_RBF,standard,f1,0.07,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.56,0.31677613017944467,0.5957446808510638,0.4,0.7142857142857143,0.5128205128205128,0.5865800865800865,0.23805588025744623,18,15,4,10,107,800,30,14,15
DAIC_only,AudioExt_GradientBoosting,standard,accuracy,0.24000000000000005,0.6857142857142857,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.2636406252628528,0.5957446808510638,0.391304347826087,0.6428571428571429,0.4864864864864865,0.5497835497835498,0.20000039211957293,19,14,5,9,107,0,30,14,15
DAIC_only,AudioExt_GradientBoosting,robust,accuracy,0.24000000000000005,0.6857142857142857,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.2636406252628528,0.5957446808510638,0.391304347826087,0.6428571428571429,0.4864864864864865,0.5497835497835498,0.20000039211957293,19,14,5,9,107,0,30,14,15
DAIC_plus_external_audio,AudioExt_RandomForest,standard,accuracy,0.25000000000000006,0.6571428571428571,0.5,0.75,0.6,0.34065905734382523,0.574468085106383,0.4,0.8571428571428571,0.5454545454545454,0.6320346320346321,0.2966582402960068,15,18,2,12,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_RandomForest,robust,accuracy,0.25000000000000006,0.6571428571428571,0.5,0.75,0.6,0.34065905734382523,0.574468085106383,0.4,0.8571428571428571,0.5454545454545454,0.6320346320346321,0.2966582402960068,15,18,2,12,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_SVC_RBF,robust,f1,0.28,0.6857142857142857,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.42118073470790696,0.574468085106383,0.39285714285714285,0.7857142857142857,0.5238095238095238,0.6774891774891775,0.252135042287904,16,17,3,11,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_SVC_RBF,robust,recall,0.28,0.6857142857142857,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.42118073470790696,0.574468085106383,0.39285714285714285,0.7857142857142857,0.5238095238095238,0.6774891774891775,0.252135042287904,16,17,3,11,107,800,30,14,15
DAIC_only,AudioExt_GradientBoosting,standard,f1,0.15000000000000002,0.6571428571428571,0.5,0.6666666666666666,0.5714285714285714,0.3038024971663591,0.574468085106383,0.38461538461538464,0.7142857142857143,0.5,0.5497835497835498,0.21105155490655148,17,16,4,10,107,0,30,14,15
DAIC_only,AudioExt_GradientBoosting,robust,f1,0.15000000000000002,0.6571428571428571,0.5,0.6666666666666666,0.5714285714285714,0.3038024971663591,0.574468085106383,0.38461538461538464,0.7142857142857143,0.5,0.5497835497835498,0.21105155490655148,17,16,4,10,107,0,30,14,15
DAIC_only,AudioExt_SVC_RBF,standard,f1,0.27,0.6857142857142857,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.42118073470790696,0.5531914893617021,0.3793103448275862,0.7857142857142857,0.5116279069767442,0.5887445887445888,0.22603034062447974,15,18,3,11,107,0,30,14,15
DAIC_plus_external_audio,AudioExt_RandomForest,standard,f1,0.12000000000000002,0.6285714285714286,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.3440312310280933,0.5319148936170213,0.375,0.8571428571428571,0.5217391304347826,0.6320346320346321,0.24632947586151901,13,20,2,12,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_SoftVotingEnsemble,standard,f1,0.09000000000000001,0.6285714285714286,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.3440312310280933,0.5319148936170213,0.375,0.8571428571428571,0.5217391304347826,0.6125541125541125,0.24632947586151901,13,20,2,12,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_RandomForest,robust,f1,0.12000000000000002,0.6285714285714286,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.3440312310280933,0.5319148936170213,0.375,0.8571428571428571,0.5217391304347826,0.6320346320346321,0.24632947586151901,13,20,2,12,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_SoftVotingEnsemble,robust,f1,0.08000000000000002,0.6285714285714286,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.3440312310280933,0.5319148936170213,0.375,0.8571428571428571,0.5217391304347826,0.6677489177489178,0.24632947586151901,13,20,2,12,107,800,30,14,15
DAIC_only,AudioExt_SoftVotingEnsemble,standard,accuracy,0.25000000000000006,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.56,0.31677613017944467,0.5319148936170213,0.35714285714285715,0.7142857142857143,0.47619047619047616,0.5021645021645021,0.1573322663876521,15,18,4,10,107,0,30,14,15
DAIC_plus_external_audio,AudioExt_ExtraTrees,standard,accuracy,0.31000000000000005,0.7142857142857143,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.36594202898550726,0.5319148936170213,0.34615384615384615,0.6428571428571429,0.45,0.6201298701298701,0.11747209188194846,16,17,5,9,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_ExtraTrees,robust,accuracy,0.31000000000000005,0.7142857142857143,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.36594202898550726,0.5319148936170213,0.34615384615384615,0.6428571428571429,0.45,0.6201298701298701,0.11747209188194846,16,17,5,9,107,800,30,14,15
DAIC_only,AudioExt_LogisticRegression,standard,accuracy,0.4000000000000001,0.6857142857142857,0.5454545454545454,0.5,0.5217391304347826,0.2889602459083516,0.5319148936170213,0.3,0.42857142857142855,0.35294117647058826,0.3885281385281385,0.004004166500869151,19,14,8,6,107,0,30,14,15
DAIC_only,AudioExt_RandomForest,standard,accuracy,0.3400000000000001,0.7142857142857143,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.36594202898550726,0.5319148936170213,0.2777777777777778,0.35714285714285715,0.3125,0.5303030303030303,-0.03461725937492032,20,13,9,5,107,0,30,14,15
DAIC_only,AudioExt_RandomForest,standard,f1,0.3400000000000001,0.7142857142857143,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.36594202898550726,0.5319148936170213,0.2777777777777778,0.35714285714285715,0.3125,0.5303030303030303,-0.03461725937492032,20,13,9,5,107,0,30,14,15
