model,threshold,Accuracy,Precision,Recall,F1,MCC,AUC,TN,FP,FN,TP
ExtraTreesClf,0.06,0.3191489361702128,0.30434782608695654,1.0,0.4666666666666667,0.0960346885066768,0.6753246753246753,1,32,0,14
ExtraTreesClf,0.07,0.3829787234042553,0.32558139534883723,1.0,0.49122807017543857,0.19865651652396107,0.6753246753246753,4,29,0,14
ExtraTreesClf,0.08,0.40425531914893614,0.3333333333333333,1.0,0.5,0.22473328748774735,0.6753246753246753,5,28,0,14
ExtraTreesClf,0.09,0.40425531914893614,0.3333333333333333,1.0,0.5,0.22473328748774735,0.6753246753246753,5,28,0,14
ExtraTreesClf,0.1,0.40425531914893614,0.3333333333333333,1.0,0.5,0.22473328748774735,0.6753246753246753,5,28,0,14
ExtraTreesClf,0.11,0.425531914893617,0.34146341463414637,1.0,0.509090909090909,0.24916712705774094,0.6753246753246753,6,27,0,14
ExtraTreesClf,0.12,0.425531914893617,0.34146341463414637,1.0,0.509090909090909,0.24916712705774094,0.6753246753246753,6,27,0,14
ExtraTreesClf,0.13,0.425531914893617,0.34146341463414637,1.0,0.509090909090909,0.24916712705774094,0.6753246753246753,6,27,0,14
ExtraTreesClf,0.14,0.46808510638297873,0.358974358974359,1.0,0.5283018867924528,0.29499845257913987,0.6753246753246753,8,25,0,14
ExtraTreesClf,0.15,0.46808510638297873,0.358974358974359,1.0,0.5283018867924528,0.29499845257913987,0.6753246753246753,8,25,0,14
ExtraTreesClf,0.16,0.48936170212765956,0.3684210526315789,1.0,0.5384615384615384,0.3169833889962083,0.6753246753246753,9,24,0,14
ExtraTreesClf,0.17,0.48936170212765956,0.3611111111111111,0.9285714285714286,0.52,0.2501584613021793,0.6753246753246753,10,23,1,13
ExtraTreesClf,0.18,0.46808510638297873,0.34285714285714286,0.8571428571428571,0.4897959183673469,0.16799102762898532,0.6753246753246753,10,23,2,12
ExtraTreesClf,0.19,0.46808510638297873,0.34285714285714286,0.8571428571428571,0.4897959183673469,0.16799102762898532,0.6753246753246753,10,23,2,12
ExtraTreesClf,0.2,0.46808510638297873,0.3333333333333333,0.7857142857142857,0.46808510638297873,0.11904761904761904,0.6753246753246753,11,22,3,11
ExtraTreesClf,0.21,0.48936170212765956,0.34375,0.7857142857142857,0.4782608695652174,0.14652356753831736,0.6753246753246753,12,21,3,11
ExtraTreesClf,0.22,0.48936170212765956,0.3333333333333333,0.7142857142857143,0.45454545454545453,0.10300633343611347,0.6753246753246753,13,20,4,10
ExtraTreesClf,0.23,0.5106382978723404,0.3448275862068966,0.7142857142857143,0.46511627906976744,0.13032379999970004,0.6753246753246753,14,19,4,10
ExtraTreesClf,0.24,0.5319148936170213,0.35714285714285715,0.7142857142857143,0.47619047619047616,0.1573322663876521,0.6753246753246753,15,18,4,10
ExtraTreesClf,0.25,0.5319148936170213,0.34615384615384615,0.6428571428571429,0.45,0.11747209188194846,0.6753246753246753,16,17,5,9
ExtraTreesClf,0.26,0.5106382978723404,0.32,0.5714285714285714,0.41025641025641024,0.05157877405578002,0.6753246753246753,16,17,6,8
ExtraTreesClf,0.27,0.5319148936170213,0.3333333333333333,0.5714285714285714,0.42105263157894735,0.07920807608695958,0.6753246753246753,17,16,6,8
ExtraTreesClf,0.28,0.5319148936170213,0.3333333333333333,0.5714285714285714,0.42105263157894735,0.07920807608695958,0.6753246753246753,17,16,6,8
ExtraTreesClf,0.29,0.574468085106383,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.1348983321458862,0.6753246753246753,19,14,6,8
ExtraTreesClf,0.3,0.5957446808510638,0.38095238095238093,0.5714285714285714,0.45714285714285713,0.1632662971918606,0.6753246753246753,20,13,6,8
