candidate,weights,threshold,Dev_Accuracy,Dev_Precision,Dev_Recall,Dev_F1,Dev_AUC,Dev_MCC,Dev_TN,Dev_FP,Dev_FN,Dev_TP,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,Test_MCC,Test_TN,Test_FP,Test_FN,Test_TP
WeightedSoftVoting,GradientBoostingClf:0.375;LogisticRegression:0.250;ExtraTreesClf:0.250;SVC_RBF:0.125,0.6200000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5434782608695652,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.7835497835497836,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf:0.429;LogisticRegression:0.286;RandomForestClf:0.143;ExtraTreesClf:0.143,0.6600000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5471014492753623,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.7857142857142857,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf:0.429;LogisticRegression:0.286;RandomForestClf:0.286,0.6500000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5398550724637682,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.7943722943722943,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.500;ExtraTreesClf:0.500,0.55,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5760869565217391,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7965367965367965,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.167;GradientBoostingClf:0.167;ExtraTreesClf:0.333;SVC_RBF:0.333,0.4800000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5543478260869565,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7943722943722944,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.143;GradientBoostingClf:0.143;ExtraTreesClf:0.286;SVC_RBF:0.429,0.4600000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5543478260869565,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7900432900432901,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.200;GradientBoostingClf:0.200;ExtraTreesClf:0.600,0.5300000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5833333333333333,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7813852813852814,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.200;GradientBoostingClf:0.200;RandomForestClf:0.200;SVC_RBF:0.400,0.4700000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.4927536231884058,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.7965367965367965,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.143;GradientBoostingClf:0.143;RandomForestClf:0.143;ExtraTreesClf:0.143;SVC_RBF:0.429,0.4600000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.532608695652174,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7965367965367965,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.200;GradientBoostingClf:0.200;RandomForestClf:0.200;ExtraTreesClf:0.400,0.5200000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5833333333333334,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7878787878787878,0.4682617889493368,33,0,10,4
